question,answer
학과의 계열은 뭔가요?,각 학과에서 배우는 학문의 특성과 성격에 따라 따라 큰 틀로 구분한 것을 말합니다. 총 28개의 학과가 3개의 계열로 나뉘어져 있습니다.
학과 계열은 어떤게 있나요?,"공학계열, 인문사회계열, 예능계열으로 나누어 집니다."
공학계열은 어떤 학과가 있나요?,"기계공학과, 기계설계공학과, 메카트로닉스공학과, 조선기계공학과, 항공기계공학과, 자동차공학과, 전기공학과, 전자공학과, 정보통신공학과, 컴퓨터정보공학과, 컴퓨터시스템공학과, 건설환경공학과, 공간정보빅데이터학과, 건축학과, 실내건축학과, 화학생명공학과, 재료공학과, 반도체기계정비학과, 디지털마케팅공학과로 총 19개의 학과가 속해있습니다."
인문사회계열은 어떤 학과가 있나요?,"항공운항과, 항공경영학과, 관광경영학과, 경영비서학과, 호텔경영학과, 물류시스템학과로 총 6개의 학과가 속해있습니다."
예능계열은 어떤 학과가 있나요?,"산업디자인학과, 패션디자인학과, 스포츠헬스케어학과로 총 3개의 학과가 속해있습니다."
입학전형은 어떤게 있나요?,"일반전형, 정원내 특별전형, 정원외 특별전형으로 총 3가지의 입학전형이 있습니다."
일반전형은 뭔가요?,"정시 모집시기에 지원하는 전형으로써, 수능성적을 바탕으로 입학을 지원하는 전형입니다."
정원내 특별전형은 뭔가요?,"수시 모집시기에 지원하는 전형으로써, 일반고 전형, 특성화고 전형, 어학 특기자 전형으로 3가지의 세부 전형을 포함하고 있습니다. 수시 1차와 수시 2차 모집시기에 지원 가능합니다."
정원외 특별전형은 뭔가요?,"수시와 정시 모집시기에 지원하는 전형으로써, 농어촌출신자, 수급자 및 차상위, 재외국민 및 외국인, 북한이탈주민, 전문대학 이상 졸업자 전형을 포함하고 있습니다. 일부 세부 전형은 수시 2차에만 지원 할 수 있으니 유의하시기 바랍니다."
일반고 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 일반과정 졸업(예정)자나 과학고, 외국어고, 국제고 졸업(예정)자, 검정고시 출신자가 지원할 수 있는 전형으로, 정확한 표현은 다음과 같습니다. 1 일반고(인문계)의 일반과정 졸업(예정)자 2 종합고, 학력인정평생교육시설, 대안학교 등의 일반과정 졸업(예정)자, 일반고 졸업(예정)자 중 위탁직업교육을 이수한 경우와 중점교육(체육, 음악, 미술 등)을 이수한 경우 3 특수목적고의 과학고, 국제고, 외국어고 졸업(예정)자 4. 검정고시 출신자"
정원내 특별전형에서 일반고 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 일반과정 졸업(예정)자나 과학고, 외국어고, 국제고 졸업(예정)자, 검정고시 출신자가 지원할 수 있는 전형으로, 정확한 표현은 다음과 같습니다. 1 일반고(인문계)의 일반과정 졸업(예정)자 2 종합고, 학력인정평생교육시설, 대안학교 등의 일반과정 졸업(예정)자, 일반고 졸업(예정)자 중 위탁직업교육을 이수한 경우와 중점교육(체육, 음악, 미술 등)을 이수한 경우 3 특수목적고의 과학고, 국제고, 외국어고 졸업(예정)자 4. 검정고시 출신자"
일반고 전형의 전형 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
일반고 전형의 평가 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
정원내 특별전형에서 일반고 전형의 평가 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
정원내 특별전형에서 일반고 전형의 전형 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
특성화고 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 전문과정 졸업(예정)자나  종합고, 학력인정평생교육시설이나 대안학교 등의 전문과정 졸업(예정)자, 예술고, 체육고, 마이스터고 졸업(예정)자가 지원할 수 있는 전형입니다. 상기 언급한 다른 유형의 고교는 지원할 수 없으니 유의하시기 바랍니다."
